# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260507-014723.log
0|6524|INIT |DLL_PROCESS_ATTACH pid=14072
3|6524|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
20500|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 hCop=0x8 pCoPTag=00000000 ts=0 pData=0217B520
20501|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8004 size=0
20503|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000009
20503|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0x9 pCoPTag=0158926C ts=0 pData=0217BBF0
20513|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
20513|9572|RET  |PDUIoCtl|err=0
20514|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
20514|9572|RET  |PDUIoCtl|err=0
20514|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0001
20515|9572|RET  |PDUIoCtl|err=0
20515|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000003 cmd=0x000C0000
20515|9572|RET  |PDUIoCtl|err=0
20515|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0001
20516|9572|RET  |PDUIoCtl|err=0
20516|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0000
20516|9572|RET  |PDUIoCtl|err=0
20522|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
20528|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000A
20528|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0xA pCoPTag=0158839C ts=0 pData=0217BCF0
20529|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0xA pCoPTag=0158839C ts=0 pData=0217BDE0
20530|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
20531|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000B
20531|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0xB pCoPTag=015883A0 ts=0 pData=0217BDA0
20532|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 hCop=0xB pCoPTag=015883A0 ts=0 pData=0217BDE0
20533|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 hCop=0x3 pCoPTag=0158839C ts=0 pData=0217BC70
20533|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000003 CoPType=0x8003 size=0
20534|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000C
20534|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 hCop=0xC pCoPTag=01588B04 ts=0 pData=0217BC70
20535|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 hCop=0xC pCoPTag=01588B04 ts=0 pData=0217BD30
20535|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000004 CoPType=0x8003 size=0
20536|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000D
20536|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 hCop=0xD pCoPTag=01588B08 ts=0 pData=0217BC70
20537|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 hCop=0xD pCoPTag=01588B08 ts=0 pData=0217BDA0
20537|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 hCop=0x6 pCoPTag=01588B04 ts=0 pData=0217BC70
20540|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8003 size=0
20546|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000E
20546|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0xE pCoPTag=0158926C ts=0 pData=0217BCF0
20547|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0xE pCoPTag=0158926C ts=0 pData=0217B520
20547|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000006 CoPType=0x8003 size=0
20548|9572|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000F
20548|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 hCop=0xF pCoPTag=01589270 ts=0 pData=0217B420
20549|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 hCop=0xF pCoPTag=01589270 ts=0 pData=0217B580
20549|9572|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 hCop=0x9 pCoPTag=0158926C ts=0 pData=0217B520
20562|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0001
20563|9572|RET  |PDUIoCtl|err=0
20563|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000001 cmd=0x000C0000
20564|9572|RET  |PDUIoCtl|err=0
20568|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0001
20569|9572|RET  |PDUIoCtl|err=0
20569|9572|CALL |PDUIoCtl|hMod=0x00000001 hCLL=0x00000005 cmd=0x000C0000
20570|9572|RET  |PDUIoCtl|err=0
20578|9572|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
