# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260506-234528.log
0|3416|INIT |DLL_PROCESS_ATTACH pid=6440
10|3416|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
22809|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x1E hCop=0x0158839C ts=0
22810|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
22811|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000021
22811|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x21 hCop=0x0158839C ts=0
22821|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8003 size=0
22821|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000022
22822|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x22 hCop=0x0158926C ts=0
22822|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x22 hCop=0x0158926C ts=0
22823|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000006 CoPType=0x8003 size=0
22824|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000023
22824|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x23 hCop=0x01589270 ts=0
22825|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x23 hCop=0x01589270 ts=0
22826|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8004 size=0
22827|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000024
22827|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x24 hCop=0x0158926C ts=0
22845|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8003 size=0
22845|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000025
22846|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x25 hCop=0x0158926C ts=0
22847|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x25 hCop=0x0158926C ts=0
22848|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000006 CoPType=0x8003 size=0
22849|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000026
22849|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x26 hCop=0x01589270 ts=0
22850|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000006 ItemType=0x1301 EventType=0x26 hCop=0x01589270 ts=0
22851|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x24 hCop=0x0158926C ts=0
22852|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000005 CoPType=0x8004 size=0
22853|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000027
22854|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000005 ItemType=0x1301 EventType=0x27 hCop=0x0158926C ts=0
22873|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
22873|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000028
22874|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x28 hCop=0x0158839C ts=0
22875|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x28 hCop=0x0158839C ts=0
22876|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
22877|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x00000029
22877|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x29 hCop=0x015883A0 ts=0
22878|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x29 hCop=0x015883A0 ts=0
22879|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x21 hCop=0x0158839C ts=0
22880|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8004 size=0
22881|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000002A
22882|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x2A hCop=0x0158839C ts=0
22902|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000001 CoPType=0x8003 size=0
22902|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000002B
22903|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x2B hCop=0x0158839C ts=0
22904|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x2B hCop=0x0158839C ts=0
22905|17492|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
22906|17492|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000002C
22906|17492|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0x2C hCop=0x015883A0 ts=0
