# cstech2win shim log
# format: ms_since_attach | tid | event | function | detail
# log file: C:\Users\ELITEB~1\AppData\Local\Temp\cstech2win_shim_20260506-200949.log
0|16448|INIT |DLL_PROCESS_ATTACH pid=18304
4|16448|INIT |loaded real DLL from 'C:\Program Files (x86)\CHIPSOFT_J2534_Pro_Driver\CSTech2Win_real.dll'
33216|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000A
33216|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0xA hCop=0x0158839C ts=0
33217|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0xA hCop=0x0158839C ts=0
33218|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000002 CoPType=0x8003 size=0
33219|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000B
33220|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0xB hCop=0x015883A0 ts=0
33221|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000002 ItemType=0x1301 EventType=0xB hCop=0x015883A0 ts=0
33222|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000001 ItemType=0x1301 EventType=0x3 hCop=0x0158839C ts=0
33223|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000003 CoPType=0x8003 size=0
33224|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000C
33224|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0xC hCop=0x01588B04 ts=0
33225|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0xC hCop=0x01588B04 ts=0
33226|5772|CALL |PDUStartComPrimitive|hMod=0x00000001 hCLL=0x00000004 CoPType=0x8003 size=0
33226|5772|RET  |PDUStartComPrimitive|err=0 hCoP=0x0000000D
33227|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0xD hCop=0x01588B08 ts=0
33227|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000004 ItemType=0x1301 EventType=0xD hCop=0x01588B08 ts=0
33229|5772|EVT  |PDUGetEventItem|hMod=0x00000001 hCLL=0x00000003 ItemType=0x1301 EventType=0x6 hCop=0x01588B04 ts=0
